budget_id,user_id,income_id,needs_amount,wants_amount,investment_amount,income_amount,budget_limit,source,income_date
BGT01352,USR053,INC06728,3400000.0,2250000.0,1600000.0,7250000.0,5650000.0,salary,2023-01-10 00:38:00
BGT06784,USR016,INC00797,650000.0,400000.0,300000.0,1400000.0,1050000.0,scholarship,2024-05-25 12:49:00
BGT02948,USR013,INC08009,600000.0,350000.0,250000.0,1200000.0,950000.0,scholarship,2023-07-21 06:16:00
BGT03140,USR038,INC06623,2550000.0,1450000.0,950000.0,4950000.0,4000000.0,freelance,2024-04-07 04:12:00
BGT01706,USR026,INC01374,1900000.0,1150000.0,650000.0,3700000.0,3050000.0,freelance,2024-11-20 09:55:00
BGT01104,USR068,INC06927,4350000.0,2700000.0,1650000.0,8700000.0,7050000.0,freelance,2024-04-30 16:24:00
BGT07466,USR040,INC00896,1500000.0,1100000.0,650000.0,3300000.0,2600000.0,freelance,2024-11-29 03:02:00
BGT02716,USR064,INC07291,4700000.0,2550000.0,1300000.0,8550000.0,7250000.0,bonus,2023-03-31 09:31:00
BGT09094,USR013,INC09837,650000.0,500000.0,300000.0,1450000.0,1150000.0,scholarship,2023-06-23 12:06:00
BGT07765,USR059,INC03771,1950000.0,1350000.0,1150000.0,4450000.0,3300000.0,business,2024-09-13 00:58:00
BGT05419,USR050,INC09112,2450000.0,1300000.0,1000000.0,4750000.0,3750000.0,business,2024-03-12 05:21:00
BGT04426,USR042,INC04036,3700000.0,2450000.0,1450000.0,7600000.0,6150000.0,freelance,2024-02-25 04:30:00
BGT07838,USR069,INC04524,3650000.0,1850000.0,1350000.0,6850000.0,5500000.0,freelance,2024-02-15 04:25:00
BGT06692,USR022,INC03399,1700000.0,1050000.0,650000.0,3400000.0,2750000.0,allowance,2023-10-18 08:02:00
BGT03932,USR002,INC02227,600000.0,450000.0,300000.0,135000000.0,1050000.0,part_time,2023-04-04 07:05:00
BGT06756,USR064,INC01568,2500000.0,1500000.0,1000000.0,5050000.0,4000000.0,salary,2023-03-02 15:04:00
BGT08555,USR019,INC08024,1350000.0,850000.0,700000.0,2900000.0,2200000.0,part_time,2024-04-07 04:06:00
BGT07385,USR051,INC09047,1750000.0,1050000.0,700000.0,3500000.0,2800000.0,salary,2023-12-29 11:31:00
BGT03180,USR010,INC05291,1150000.0,700000.0,350000.0,2250000.0,1850000.0,allowance,2023-04-21 04:28:00
