transaction_id,user_id,date,merchant,amount,category_detail,category_primary,payment_method,payment_media,month,year,budget_id,income_id,needs_amount,wants_amount,investment_amount,income_amount,budget_limit,source,income_date,transaction_count_to_date,total_expense_to_date,needs_expense,needs_expense_to_date,wants_expense,wants_expense_to_date,investment_expense,investment_expense_to_date,needs_usage_ratio,wants_usage_ratio,investment_usage_ratio,total_budget_usage_ratio,days_elapsed,avg_daily_spending,days_in_month,remaining_days,rolling_7d_spending,rolling_30d_spending,last_month_expense,is_overspending,overspending_status
TXN004653,USR001,2023-01-04 07:28:49,Tokocrypto,1835000.0,investment,Investment,Credit Card,BNI,1,2023,BGT04679,INC02284,750000.0,550000.0,300000.0,1600000.0,1300000.0,scholarship,2023-01-01 01:41:00,17,12361000.0,0.0,1422000.0,0.0,2348000.0,1835000.0,8591000.0,1.896,4.2690909090909095,28.636666666666667,9.508461538461539,4,3090250.0,31,27,1835000.0,1835000.0,,True,overspending
TXN004653,USR001,2023-01-04 07:28:49,Tokocrypto,1835000.0,investment,Investment,Credit Card,BNI,1,2023,BGT00334,INC07062,500000.0,300000.0,300000.0,1100000.0,800000.0,scholarship,2023-01-12 01:06:00,18,14196000.0,0.0,1422000.0,0.0,2348000.0,1835000.0,10426000.0,2.844,7.826666666666667,34.75333333333333,17.745,4,3549000.0,31,27,3670000.0,3670000.0,,True,overspending
TXN004653,USR001,2023-01-04 07:28:49,Tokocrypto,1835000.0,investment,Investment,Credit Card,BNI,1,2023,BGT02980,INC00938,1400000.0,1000000.0,600000.0,3000000.0,2400000.0,allowance,2023-01-24 00:28:00,19,16031000.0,0.0,1422000.0,0.0,2348000.0,1835000.0,12261000.0,1.0157142857142858,2.348,20.435,6.679583333333333,4,4007750.0,31,27,5505000.0,5505000.0,,True,overspending
TXN004653,USR001,2023-01-04 07:28:49,Tokocrypto,1835000.0,investment,Investment,Credit Card,BNI,1,2023,BGT03654,INC07598,550000.0,300000.0,200000.0,1050000.0,850000.0,allowance,2023-01-31 06:18:00,20,17866000.0,0.0,1422000.0,0.0,2348000.0,1835000.0,14096000.0,2.5854545454545454,7.826666666666667,70.48,21.018823529411765,4,4466500.0,31,27,7340000.0,7340000.0,,True,overspending
TXN004449,USR001,2023-01-11 02:49:16,Apotek K24,18000.0,health,Needs,Debit,CIMB Niaga,1,2023,BGT04679,INC02284,750000.0,550000.0,300000.0,1600000.0,1300000.0,scholarship,2023-01-01 01:41:00,13,10472000.0,18000.0,1368000.0,0.0,2348000.0,0.0,6756000.0,1.824,4.2690909090909095,22.52,8.055384615384616,11,952000.0,31,20,7358000.0,7358000.0,,True,overspending
TXN004449,USR001,2023-01-11 02:49:16,Apotek K24,18000.0,health,Needs,Debit,CIMB Niaga,1,2023,BGT00334,INC07062,500000.0,300000.0,300000.0,1100000.0,800000.0,scholarship,2023-01-12 01:06:00,14,10490000.0,18000.0,1386000.0,0.0,2348000.0,0.0,6756000.0,2.772,7.826666666666667,22.52,13.1125,11,953636.3636363636,31,20,7376000.0,7376000.0,,True,overspending
TXN004449,USR001,2023-01-11 02:49:16,Apotek K24,18000.0,health,Needs,Debit,CIMB Niaga,1,2023,BGT02980,INC00938,1400000.0,1000000.0,600000.0,3000000.0,2400000.0,allowance,2023-01-24 00:28:00,15,10508000.0,18000.0,1404000.0,0.0,2348000.0,0.0,6756000.0,1.002857142857143,2.348,11.26,4.378333333333333,11,955272.7272727273,31,20,7394000.0,7394000.0,,True,overspending
TXN004449,USR001,2023-01-11 02:49:16,Apotek K24,18000.0,health,Needs,Debit,CIMB Niaga,1,2023,BGT03654,INC07598,550000.0,300000.0,200000.0,1050000.0,850000.0,allowance,2023-01-31 06:18:00,16,10526000.0,18000.0,1422000.0,0.0,2348000.0,0.0,6756000.0,2.5854545454545454,7.826666666666667,33.78,12.383529411764705,11,956909.0909090909,31,20,5577000.0,7412000.0,,True,overspending
TXN001523,USR001,2023-01-21 08:23:27,Compass,587000.0,shopping,Wants,Credit Card,CIMB Niaga,1,2023,BGT04679,INC02284,750000.0,550000.0,300000.0,1600000.0,1300000.0,scholarship,2023-01-01 01:41:00,5,7343000.0,0.0,0.0,587000.0,587000.0,0.0,6756000.0,0.0,1.0672727272727274,22.52,5.648461538461539,21,349666.6666666667,31,10,4329000.0,7999000.0,,True,overspending
TXN001523,USR001,2023-01-21 08:23:27,Compass,587000.0,shopping,Wants,Credit Card,CIMB Niaga,1,2023,BGT00334,INC07062,500000.0,300000.0,300000.0,1100000.0,800000.0,scholarship,2023-01-12 01:06:00,6,7930000.0,0.0,0.0,587000.0,1174000.0,0.0,6756000.0,0.0,3.9133333333333336,22.52,9.9125,21,377619.04761904763,31,10,3081000.0,8586000.0,,True,overspending
