transaction_id,user_id,date,merchant,amount,category_detail,category_primary,payment_method,payment_media,day_of_week,month,is_weekend,day,week,time_of_day,spending_level,log_amount,rolling_7d_spending,transaction_count,spike
TXN004191,USR051,2022-12-27 00:18:13,PLN Mobile,334000.0,utilities,Needs,Transfer,DANA,Tuesday,12,False,27,52,Malam,high,12.718899265966332,,1,False
TXN000058,USR015,2022-12-27 04:47:18,Pluang,442500.0,investment,Investment,Transfer,DANA,Tuesday,12,False,27,52,Malam,high,13.000198003314573,,1,False
TXN006945,USR062,2022-12-27 07:48:27,Giant,180000.0,groceries,Needs,Debit,BCA,Tuesday,12,False,27,52,Pagi,medium,12.100717685412471,,1,False
TXN007877,USR003,2022-12-27 09:12:38,WeTV,71000.0,entertainment,Wants,Cash,Cash,Tuesday,12,False,27,52,Pagi,medium,11.170449240431308,,1,False
TXN007697,USR036,2022-12-27 11:59:49,Blue Bird,51000.0,transport,Needs,QRIS,BCA,Tuesday,12,False,27,52,Pagi,medium,10.839600519357369,,1,False
TXN003048,USR051,2022-12-27 16:04:20,RS Siloam,488000.0,health,Needs,Transfer,Mandiri,Tuesday,12,False,27,52,Siang,high,13.098072734013513,,1,False
TXN001427,USR075,2022-12-27 16:33:20,McDonalds,90500.0,food,Needs,Debit,Mandiri,Tuesday,12,False,27,52,Siang,medium,11.413116179350727,1657000.0,1,False
TXN000263,USR036,2022-12-27 18:16:08,Halodoc,242500.0,health,Needs,Debit,BTN,Tuesday,12,False,27,52,Sore,high,12.398761113062513,1565500.0,1,False
TXN005742,USR069,2022-12-27 21:27:29,Indodax,882500.0,investment,Investment,Credit Card,BCA,Tuesday,12,False,27,52,Malam,high,13.690515200933422,2005500.0,1,False
TXN007456,USR031,2022-12-27 21:50:00,MyXL,354000.0,utilities,Needs,Debit,BSI,Tuesday,12,False,27,52,Malam,high,12.777055016970678,2179500.0,1,False
TXN001950,USR001,2022-12-27 23:26:18,Pintu Crypto,1236000.0,investment,Investment,Credit Card,CIMB Niaga,Tuesday,12,False,27,52,Malam,high,14.027391726060934,3344500.0,1,True
TXN000705,USR003,2022-12-28 02:34:28,Mobile Legends,118500.0,entertainment,Wants,Transfer,Jenius,Wednesday,12,False,28,52,Malam,medium,11.682676678340282,3412000.0,1,False
TXN003929,USR036,2022-12-28 05:11:25,Shopee,130000.0,shopping,Wants,Credit Card,CIMB Niaga,Wednesday,12,False,28,52,Pagi,medium,11.775297421715827,3054000.0,1,False
TXN007306,USR030,2022-12-28 10:01:58,BPJS Kesehatan,371000.0,utilities,Needs,QRIS,BNI,Wednesday,12,False,28,52,Pagi,high,12.82396003700373,3334500.0,1,False
TXN005472,USR003,2022-12-28 11:11:56,Johnny Andrean,270500.0,self_care,Wants,Transfer,BCA,Wednesday,12,False,28,52,Pagi,high,12.508031074119511,3362500.0,1,False
TXN000962,USR037,2022-12-28 16:41:58,XXI Cinema,120500.0,entertainment,Wants,Debit,Jenius,Wednesday,12,False,28,52,Siang,medium,11.699413330633599,2600500.0,1,False
TXN002590,USR042,2022-12-28 22:03:32,KAI Kereta Api,649000.0,travel,Wants,Credit Card,BRI,Wednesday,12,False,28,52,Malam,high,13.38318953651709,2895500.0,1,False
TXN008082,USR051,2022-12-28 23:15:22,PUBG Mobile,88500.0,entertainment,Wants,QRIS,OVO,Wednesday,12,False,28,52,Malam,medium,11.390769130367211,1748000.0,1,False
TXN004800,USR030,2022-12-28 23:54:03,Santika Hotel,1626500.0,travel,Wants,Credit Card,Mandiri,Wednesday,12,False,28,52,Malam,high,14.301941639712446,3256000.0,1,True
TXN006201,USR038,2022-12-29 01:48:32,Alodokter,24000.0,health,Needs,QRIS,OVO,Thursday,12,False,29,52,Malam,low,10.085850775128717,3150000.0,1,False
TXN005834,USR054,2022-12-29 03:18:22,Watson,589500.0,health,Needs,Transfer,BRI,Thursday,12,False,29,52,Malam,high,13.287031695310965,3368500.0,1,False
TXN008635,USR063,2022-12-29 03:39:19,Fit Hub,300000.0,health,Needs,Credit Card,Standard Chartered,Thursday,12,False,29,52,Malam,high,12.611541086966115,3398000.0,1,False
TXN009438,USR058,2022-12-29 03:48:55,PDAM,89500.0,utilities,Needs,Cash,Cash,Thursday,12,False,29,52,Malam,medium,11.402005077384885,3367000.0,1,False
TXN006866,USR035,2022-12-29 04:07:56,Dicoding,69000.0,education,Wants,Credit Card,Mandiri,Thursday,12,False,29,52,Malam,medium,11.141876276228,2787000.0,1,False
TXN008315,USR052,2022-12-29 06:18:38,Bath & Body Works,44000.0,self_care,Wants,Credit Card,Standard Chartered,Thursday,12,False,29,52,Pagi,low,10.691967639914864,2742500.0,1,False
TXN008298,USR067,2022-12-29 06:32:45,Aston Hotel,666000.0,travel,Wants,Transfer,Mandiri,Thursday,12,False,29,52,Pagi,high,13.4090464510229,1782000.0,1,False
TXN005933,USR004,2022-12-29 07:06:47,Lawson,43000.0,groceries,Needs,QRIS,OVO,Thursday,12,False,29,52,Pagi,low,10.668978650219241,1801000.0,1,False
TXN005088,USR033,2022-12-29 08:28:32,Figma,316500.0,education,Wants,Transfer,ShopeePay,Thursday,12,False,29,52,Pagi,high,12.66508168011904,1528000.0,1,False
TXN005585,USR066,2022-12-29 08:57:20,MyPertamina,19500.0,transport,Needs,Debit,Mandiri,Thursday,12,False,29,52,Pagi,low,9.87822102528824,1247500.0,1,False
TXN002640,USR049,2022-12-29 11:09:33,Circle K,292500.0,groceries,Needs,QRIS,OVO,Thursday,12,False,29,52,Pagi,high,12.586223364451623,1450500.0,1,False
TXN009690,USR036,2022-12-29 11:23:42,Vidio,100000.0,entertainment,Wants,QRIS,BCA,Thursday,12,False,29,52,Pagi,medium,11.51293546492023,1481500.0,1,False
TXN009305,USR025,2022-12-29 13:02:34,Kopi Kenangan,71000.0,food,Needs,QRIS,Gopay,Thursday,12,False,29,52,Siang,medium,11.170449240431308,1508500.0,1,False
TXN007443,USR027,2022-12-29 14:08:17,Guardian,330500.0,health,Needs,QRIS,LinkAja,Thursday,12,False,29,52,Siang,high,12.70836496398791,1173000.0,1,False
TXN000982,USR033,2022-12-29 14:58:00,Microsoft 365,113000.0,education,Wants,Transfer,LinkAja,Thursday,12,False,29,52,Siang,medium,11.635151947212842,1243000.0,1,False
TXN003862,USR029,2022-12-29 16:12:52,Tokopedia,771500.0,shopping,Wants,Debit,Jenius,Thursday,12,False,29,52,Siang,high,13.556093246960792,1698000.0,1,False
TXN005946,USR025,2022-12-29 16:50:53,McDonalds,49000.0,food,Needs,QRIS,BRI,Thursday,12,False,29,52,Siang,low,10.799595985047786,1727500.0,1,False
TXN000342,USR050,2022-12-29 17:34:32,RS Siloam,536500.0,health,Needs,Transfer,Gopay,Thursday,12,False,29,52,Sore,high,13.192823704984052,1971500.0,1,False
TXN006275,USR063,2022-12-29 19:05:11,KRL Commuter,53000.0,transport,Needs,Credit Card,Citibank,Thursday,12,False,29,52,Sore,medium,10.87806606028079,1924500.0,1,False
TXN001353,USR033,2022-12-29 19:44:30,Pluang,1787500.0,investment,Investment,QRIS,Mandiri,Thursday,12,False,29,52,Sore,high,14.396329112990703,3641000.0,1,True
TXN008679,USR067,2022-12-29 20:51:32,Dufan,35500.0,entertainment,Wants,Transfer,CIMB Niaga,Thursday,12,False,29,52,Malam,low,10.477316144080852,3346000.0,1,False
TXN008606,USR060,2022-12-29 21:21:33,Hypermart,274500.0,groceries,Needs,QRIS,BNI,Thursday,12,False,29,52,Malam,high,12.522710182912336,3507500.0,1,False
TXN002831,USR047,2022-12-29 23:15:09,Canva Pro,294000.0,education,Wants,QRIS,ShopeePay,Thursday,12,False,29,52,Malam,high,12.591338447675579,3030000.0,1,False
TXN004165,USR064,2022-12-29 23:23:00,Somethinc,435000.0,self_care,Wants,Cash,Cash,Thursday,12,False,29,52,Malam,high,12.983103608918753,3416000.0,1,False
TXN009122,USR055,2022-12-30 01:18:56,Tiket.com,1977500.0,travel,Wants,Credit Card,BCA,Friday,12,False,30,52,Malam,high,14.49734448431282,4857000.0,1,True
TXN006126,USR069,2022-12-30 01:20:09,Luxcrime,172500.0,self_care,Wants,Transfer,Jenius,Friday,12,False,30,52,Malam,medium,12.058158312538197,4976500.0,1,False
TXN004962,USR042,2022-12-30 01:31:59,Bakso,120000.0,food,Needs,QRIS,ShopeePay,Friday,12,False,30,52,Malam,medium,11.695255355062795,3309000.0,1,False
TXN008535,USR039,2022-12-30 09:24:40,MyPertamina,34500.0,transport,Needs,Credit Card,BCA,Friday,12,False,30,52,Pagi,low,10.448743588106625,3308000.0,1,False
TXN003536,USR006,2022-12-30 10:21:20,Udemy,308500.0,education,Wants,Transfer,OVO,Friday,12,False,30,52,Pagi,high,12.639480363813412,3342000.0,1,False
TXN004667,USR061,2022-12-30 11:16:47,Mumuso,998500.0,shopping,Wants,Transfer,Mandiri,Friday,12,False,30,52,Pagi,high,13.814010433339758,4046500.0,1,False
